euring_code,scientific_name,language_code,common_name
00151,Thalassarche chlororhynchos,lt,geltonsnapis albatrosas
00151,Thalassarche chlororhynchos,lv,Atlantijas albatross
00151,Thalassarche chlororhynchos,nl,Atlantische Geelneusalbatros
00151,Thalassarche chlororhynchos,no,gulnesealbatross
00151,Thalassarche chlororhynchos,pl,albatros żółtodzioby
00151,Thalassarche chlororhynchos,pt,albatroz-de-nariz-amarelo
00151,Thalassarche chlororhynchos,ru,Желтоклювый альбатрос
00151,Thalassarche chlororhynchos,sk,albatros pestrozobý
00151,Thalassarche chlororhynchos,sl,rumenokljuni albatros
00151,Thalassarche chlororhynchos,sr,Žutonosi albatros
00151,Thalassarche chlororhynchos,sv,mindre albatross
00151,Thalassarche chlororhynchos,tr,Atlantik Sarı Gagalı Albatrosu
00151,Thalassarche chlororhynchos,uk,альбатрос смугастодзьобий
00152,Thalassarche carteri,cs,albatros Carterův
00152,Thalassarche carteri,da,Indisk Albatros
00152,Thalassarche carteri,de,Kerguelenalbatros
00152,Thalassarche carteri,en,Indian Yellow-nosed Albatross
00152,Thalassarche carteri,es,Albatros clororrinco pacífico
00152,Thalassarche carteri,et,pudualbatross
00152,Thalassarche carteri,fr,Albatros de Carter
00152,Thalassarche carteri,hr,kerguelenski albatros
00152,Thalassarche carteri,hu,Carter-albatrosz
00152,Thalassarche carteri,it,Albatros beccogiallo dell'Indiano
00152,Thalassarche carteri,lt,indinis geltonsnapis albatrosas
00152,Thalassarche carteri,lv,Indijas okeāna albatross
00152,Thalassarche carteri,nl,Indische Geelneusalbatros
00152,Thalassarche carteri,no,hvithodealbatross
00152,Thalassarche carteri,pl,albatros białoszyi
00152,Thalassarche carteri,pt,albatroz-de-carter
00152,Thalassarche carteri,ru,Индоокеанский альбатрос
00152,Thalassarche carteri,sk,albatros malý
00152,Thalassarche carteri,sv,gulnäbbad albatross
00152,Thalassarche carteri,uk,альбатрос індоокеанський
00160,Thalassarche cauta,bg,Белоглав албатрос
00160,Thalassarche cauta,cs,albatros šelfový
00160,Thalassarche cauta,da,Hvidkronet Albatros
00160,Thalassarche cauta,de,Tasmanalbatros
00160,Thalassarche cauta,en,Shy Albatross
00160,Thalassarche cauta,es,Albatros cauto
00160,Thalassarche cauta,et,pagualbatross
00160,Thalassarche cauta,fi,isoalbatrossi
00160,Thalassarche cauta,fr,Albatros à cape blanche
00160,Thalassarche cauta,hr,plahi albatros
00160,Thalassarche cauta,hu,tasmán albatrosz
00160,Thalassarche cauta,is,Roktrosi
00160,Thalassarche cauta,it,Albatros cauto
00160,Thalassarche cauta,lt,baltakepuris albatrosas
00160,Thalassarche cauta,lv,"biklais albatross, bailīgais albatross"
00160,Thalassarche cauta,nl,Witkapalbatros
00160,Thalassarche cauta,no,svartflekkalbatross
00160,Thalassarche cauta,pl,albatros szarodzioby
00160,Thalassarche cauta,pt,albatroz-arisco
00160,Thalassarche cauta,ru,Белошапочный альбатрос
00160,Thalassarche cauta,sk,albatros bledohlavý
00160,Thalassarche cauta,sl,plahi albatros
00160,Thalassarche cauta,sr,Belokapi albatros
00160,Thalassarche cauta,sv,gråkindad albatross
00160,Thalassarche cauta,tr,Mahçup Albatros
00160,Thalassarche cauta,uk,альбатрос сірощокий
00170,Phoebastria nigripes,bg,Чернокрак албатрос
00170,Phoebastria nigripes,cs,albatros černonohý
00170,Phoebastria nigripes,da,Sortfodet Albatros
00170,Phoebastria nigripes,de,Schwarzfußalbatros
00170,Phoebastria nigripes,en,Black-footed Albatross
00170,Phoebastria nigripes,es,Albatros patinegro
00170,Phoebastria nigripes,et,tõmmualbatross
00170,Phoebastria nigripes,fi,mustajalka-albatrossi
00170,Phoebastria nigripes,fr,Albatros à pieds noirs
00170,Phoebastria nigripes,hr,crnonogi albatros
00170,Phoebastria nigripes,hu,feketelábú albatrosz
00170,Phoebastria nigripes,is,Húmtrosi
00170,Phoebastria nigripes,it,Albatros piedineri
00170,Phoebastria nigripes,lt,juodakojis albatrosas
00170,Phoebastria nigripes,lv,melnkāju albatross
00170,Phoebastria nigripes,nl,Zwartvoetalbatros
00170,Phoebastria nigripes,no,svartfotalbatross
00170,Phoebastria nigripes,pl,albatros czarnonogi
00170,Phoebastria nigripes,pt,albatroz-de-patas-pretas
00170,Phoebastria nigripes,ru,Черноногий альбатрос
00170,Phoebastria nigripes,sk,albatros čiernonohý
00170,Phoebastria nigripes,sl,črnonogi albatros
00170,Phoebastria nigripes,sr,Crnonogi albatros
00170,Phoebastria nigripes,sv,svartfotad albatross
00170,Phoebastria nigripes,tr,Kara Ayaklı Albatros
00170,Phoebastria nigripes,uk,альбатрос чорноногий
00180,Phoebastria immutabilis,bg,Лайзенски албатрос
00180,Phoebastria immutabilis,cs,albatros laysanský
00180,Phoebastria immutabilis,da,Laysanalbatros
00180,Phoebastria immutabilis,de,Laysanalbatros
00180,Phoebastria immutabilis,en,Laysan Albatross
00180,Phoebastria immutabilis,es,Albatros de Laysan
00180,Phoebastria immutabilis,et,mask-albatross
00180,Phoebastria immutabilis,fi,havaijinalbatrossi
00180,Phoebastria immutabilis,fr,Albatros de Laysan
00180,Phoebastria immutabilis,hr,havajski albatros
00180,Phoebastria immutabilis,hu,Laysan-albatrosz
00180,Phoebastria immutabilis,it,Albatros di Laysan
00180,Phoebastria immutabilis,lt,tamsianugaris albatrosas
00180,Phoebastria immutabilis,lv,Laisanas albatross
00180,Phoebastria immutabilis,nl,Laysanalbatros
00180,Phoebastria immutabilis,no,laysanalbatross
00180,Phoebastria immutabilis,pl,albatros ciemnolicy
00180,Phoebastria immutabilis,pt,albatroz-de-laysan
00180,Phoebastria immutabilis,ru,Темноспинный альбатрос
00180,Phoebastria immutabilis,sk,albatros nemenlivý
00180,Phoebastria immutabilis,sr,Lajsanski albatros
00180,Phoebastria immutabilis,sv,laysanalbatross
00180,Phoebastria immutabilis,tr,Laysan Albatrosu
00180,Phoebastria immutabilis,uk,альбатрос гавайський
00190,Phoebastria albatrus,bg,Късоопашат албатрос
00190,Phoebastria albatrus,cs,albatros bělohřbetý
00190,Phoebastria albatrus,da,Korthalet Albatros
