place_code,country_code,active,latin_name
ES8-,ESP,true,Islas Canarias
ES80,ESP,true,Isla de Tenerife
ES81,ESP,true,Isla de La Palma
ES82,ESP,true,Isla de La Gomera
ES83,ESP,true,Isla el Hierro
ES84,ESP,true,Isla de Gran Canaria
ES85,ESP,true,Isla de Fuerteventura
ES86,ESP,true,Isla de Lanzarote
ET00,EST,true,Estonia
FA--,FRO,true,Faroe Islands
FA01,FRO,true,Nordoyar
FA02,FRO,true,Eysturoya
FA03,FRO,true,Streymoy
FA04,FRO,true,V?ga
FA05,FRO,true,Sandoy
FA06,FRO,true,Suduroy Nordari
FA07,FRO,true,Suduroy Sunnari
FR--,FRA,true,France
FR0-,FRA,true,France; north-west
FR01,FRA,true,Calvados
FR02,FRA,true,Eure
FR03,FRA,true,Manche
FR04,FRA,true,Mayenne
FR05,FRA,true,Nord
FR06,FRA,true,Orne
FR07,FRA,true,Pas-de-Calais
FR08,FRA,true,Seine-Maritime
FR09,FRA,true,Somme
FR1-,FRA,true,France; north east
FR10,FRA,true,Aisne
FR11,FRA,true,Ardennes
FR12,FRA,true,Bas-Rhin
FR13,FRA,true,Haute-Marne
FR14,FRA,true,Haut-Rhin & Territoire de Belfort
FR15,FRA,true,Marne
FR16,FRA,true,Meurthe-et-Moselle
FR17,FRA,true,Meuse
FR18,FRA,true,Moselle
FR19,FRA,true,Vosges
FR2-,FRA,true,France; central north
FR20,FRA,true,Aube
FR21,FRA,true,C?te-d'Or
FR22,FRA,true,Eure-et-Loir
FR23,FRA,true,Loir-et-Cher
FR24,FRA,true,Loiret
FR25,FRA,true,Oise
FR26,FRA,true,Sarthe
FR27,FRA,true,Seine-et-Marne
FR28,FRA,true,Seine-et-Oise? & Seine
FR29,FRA,true,Yonne
FR3-,FRA,true,France; Atlantic coast
FR30,FRA,true,Pyr?n?es-Atlantiques
FR31,FRA,true,Charente-Maritime
FR32,FRA,true,C?tes-d?Armor
FR33,FRA,true,Finist?re
FR34,FRA,true,Gironde
FR35,FRA,true,Ille-et-Vilaine
FR36,FRA,true,Landes
FR37,FRA,true,Loire-Atlantique
FR38,FRA,true,Morbihan
FR39,FRA,true,Vend?e
FR4-,FRA,true,France; central west
FR40,FRA,true,Charente
FR41,FRA,true,Corr?ze
FR42,FRA,true,Creuse
FR43,FRA,true,Deux-S?vres
FR44,FRA,true,Dordogne
FR45,FRA,true,Haute-Vienne
FR46,FRA,true,Indre
FR47,FRA,true,Indre-et-Loire
FR48,FRA,true,Maine-et-Loire
FR49,FRA,true,Vienne
FR5-,FRA,true,France; central east
FR50,FRA,true,Allier
FR51,FRA,true,Ard?che
FR52,FRA,true,Cantal
FR53,FRA,true,Cher
FR54,FRA,true,Haute-Loire
FR55,FRA,true,Loire
FR56,FRA,true,Ni?vre
FR57,FRA,true,Puy-de-D?me
FR58,FRA,true,Rh?ne
FR59,FRA,true,Sa?ne-et-Loire
FR6-,FRA,true,France; east
FR60,FRA,true,Ain
FR61,FRA,true,Alpes-de-Haute-Provence
FR62,FRA,true,Doubs
FR63,FRA,true,Dr?me
FR64,FRA,true,Hautes-Alpes
FR65,FRA,true,Haute-Sa?ne
FR66,FRA,true,Haute-Savoie
FR67,FRA,true,Is?re
FR68,FRA,true,Jura
FR69,FRA,true,Savoie
FR7-,FRA,true,France; central south
FR70,FRA,true,Ari?ge
FR71,FRA,true,Aveyron
FR72,FRA,true,Gers
FR73,FRA,true,Haute-Garonne
FR74,FRA,true,Hautes-Pyr?n?es
FR75,FRA,true,Lot
FR76,FRA,true,Lot-et-Garonne
FR77,FRA,true,Loz?re
FR78,FRA,true,Tarn
FR79,FRA,true,Tarn-et-Garonne
FR8-,FRA,true,France; Mediterranean
FR80,FRA,true,Alpes-Maritimes
FR81,FRA,true,Aude
FR82,FRA,true,Bouches-du-Rh?ne
FR83,FRA,true,Gard
FR84,FRA,true,H?rault
FR85,FRA,true,Pyr?n?es-Orientales
FR86,FRA,true,Var
FR87,FRA,true,Vaucluse
FR90,FRA,true,Corse
GB--,GBR,true,Great Britain
GB00,GBR,false,"Antrim, Armagh, Down"
GB01,GBR,false,"Londonderry, Tyrone"
GB02,GBR,false,Monaghan
GB10,GBR,false,Cornwall
GB11,GBR,false,Devon
GB12,GBR,false,Dorset
GB13,GBR,false,Gloucester
GB14,GBR,false,Hampshire
GB15,GBR,false,Monmouth
GB16,GBR,false,Scilly Isles
GB17,GBR,false,Somerset
GB18,GBR,false,Isle of Wight
GB19,GBR,false,Wiltshire
GB20,GBR,false,Bedfordshire
GB21,GBR,false,Berkshire
GB22,GBR,false,Buckingham
GB23,GBR,false,Essex
GB24,GBR,false,Hertfordshire
GB25,GBR,false,Kent
GB26,GBR,false,Middlesex & London
GB27,GBR,false,Oxford
GB28,GBR,false,Surrey
GB29,GBR,false,Sussex
GB30,GBR,false,Cambridge
GB31,GBR,false,Huntingdon
GB32,GBR,false,Lincolnshire
GB33,GBR,false,Norfolk
GB34,GBR,false,Northamptonshire
GB35,GBR,false,Rutland
GB36,GBR,false,Suffolk
